Authors;Title;Price;Cover;Pages;Publisher
Каратыгин С.А., Тихонов А.Ф.;Paradox 4.5 FOREIGN DOS. Том 1;20;Hardcover;520;RUSSIAN
Карпов Ю.;Имитационное моделирование систем. Введение в моделирование с AnyLogic 5;559;Hardcover;400;RUSSIAN
Карр А.;Единственный способ бросить курить навсегда;419;Hardcover;608;RUSSIAN
Каштанов В. А., Медведев А. И.;Теория надежности сложных систем;1000;Hardcover;608;RUSSIAN
Кельтон В., Лоу А.;Имитационное моделирование. Классика CS;593;Hardcover;847;RUSSIAN
Керниган, Брайан У., Ритчи, Деннис М.;Язык программирования C;354;Paperback;304;RUSSIAN
Клейн Ф.;Неевклидова геометрия;176;Paperback;360;RUSSIAN
Клифтон Б.;Google Analytics: профессиональый анализ посещаемости веб-сайтов;780;Hardcover;400;RUSSIAN
Кнут Д.;Все про Tex;500;Hardcover;560;RUSSIAN
Кнут Д. Э.;Искусство программирования. Том 2. Получисленные алгоритмы;389;Hardcover;832;RUSSIAN
Кнут Д.Э.;Искусство программирования, том 4, выпуск 4. Генерация всех деревьев. История комбинаторной генерац.;314;Paperback;160;RUSSIAN
Кнут Д.Э.;Искусство программирования. Том 3. Сортировка и поиск;389;Hardcover;832;RUSSIAN
Кнут Д.Э.;Искусство программирования. Том 1. Основные алгоритмы;389;Hardcover;720;RUSSIAN
Кнут Д.Э.;Искусство программирования, том 4, выпуск 3: генерация всех сочетаний и разбиений;414;Paperback;208;RUSSIAN
Кнут Д.Э.;Искусство программирования, том 4, выпуск 2. Генерация всех кортежей и перестановок;414;Paperback;160;RUSSIAN
Кнут Д.Э.;Искусство программирования, том 1, выпуск 1. MMIX - RISC-компьютер нового тысячелетия;414;Paperback;160;RUSSIAN
Кобаяси Н.;Введение в нанотехнологию;181;Hardcover;134;RUSSIAN
Комплиен Дж.;Программирование на C++. Классика CS;469;Hardcover;479;RUSSIAN
Кон М.;Scrum: гибкая разработка ПО;1500;Hardcover;576;RUSSIAN
Конобеев Ю.В., Павлинчук В.А., Работнов Н.С., Турчин В.Ф.;Физики продолжают шутить;189;Paperback;232;RUSSIAN
Константайн Л., Локвуд Л.;Разработка программного обеспечения. Классика CS;300;Hardcover;592;RUSSIAN
Конышева Л. К., Назаров Д. М.;Основы теории нечетких множеств: Учебное пособие;200;Hardcover;192;RUSSIAN
Корриган Дж.;Компьютерная графика: Секреты и решения;50;Paperback;352;RUSSIAN
Крейт Дж.К., Уэбб Дж.;Microsoft Visual Basic 5.0. Мастерская разработчика;107;Paperback;616;RUSSIAN
Кренке Д.;Теория и практика построения баз данных. Классика CS;678;Hardcover;859;RUSSIAN
Кровчик Э. и др.;.NET. Сетевое программирование для профессионалов;371;Paperback;400;RUSSIAN
Кроудер Д.;Создание веб-сайта для чайников;300;Paperback;352;RUSSIAN
Круг С.;"Веб-дизайн: книга Стива Круга или ""не заставляйте меня думать!""";200;Paperback;224;RUSSIAN
Круг С.;Как сделать сайт удобным. Юзабилити по методу Стива Круга;433;Paperback;208;RUSSIAN
Кундера Милан;Невыносимая легкость бытия;175;Hardcover;384;RUSSIAN
Купер А.;Психбольница в руках пациентов;290;Paperback;336;RUSSIAN
Купер А., Рейман Р., Кронин Д.;Алан Купер об интерфейсе. Основы проектирования взаимодействия;800;Paperback;688;RUSSIAN
Кэрриэ Б.;Криминалистический анализ файловых систем;200;Hardcover;480;RUSSIAN
Кэрролл Л.;Полное иллюстрированное собрание сочинений в одном томе;439;Hardcover;941;RUSSIAN
Лапшин Е.;Графика для IBM PC;50;Paperback;228;RUSSIAN
Лафоре Р.;Объектно-ориентированное программирование в C++. Классика CS;469;Hardcover;924;RUSSIAN
Лафоре Р.;Структуры данных и алгоритмы в Java. Классика Computer Science;1000;Hardcover;704;RUSSIAN
Лебедев А.;Ководство;500;Hardcover;508;RUSSIAN
Леонардо да Винчи;Избранные произведения Т. 2;1000;Hardcover;480;RUSSIAN
Леонардо да Винчи;Избранные произведения Т. 1;1000;Hardcover;444;RUSSIAN
Лефевр Э.;Воспоминания биржевого спекулянта;600;Hardcover;416;RUSSIAN
Ли Ч., Бернофф Дж.;Взрывная Web_Волна: Как добиться успеха в мире, преображенном интернет-технологиями;433;Hardcover;276;RUSSIAN
Ливермор Дж.;Торговля акциями. Классическая формула тайминга, управления капиталом и эмоциями;350;Hardcover;304;RUSSIAN
Лимончелли Т.;Тайм-менеджмент для системных администраторов;190;Paperback;240;RUSSIAN
Линдгрен А.;Карлсон вернулся;90;Hardcover;120;RUSSIAN
Линдгрен А.;Малыш и Карлсон;98;Hardcover;174;RUSSIAN
Логунова О.С.;Человеко-машинное взаимодействие: теория и практика;160;Hardcover;285;RUSSIAN
Луптон Э.;Графический дизайн от идеи до воплощения;600;Hardcover;184;RUSSIAN
Лутц М.;Изучаем Python;500;Paperback;848;RUSSIAN
Любавин С.;Программирование игр для сотовых телефонов на J2ME;300;Paperback;304;RUSSIAN
Макконнелл С.;Сколько стоит программный проект;300;Paperback;297;RUSSIAN
Макконнелл С.;Профессиональная разработка программного обеспечения;300;Paperback;240;RUSSIAN
Макконнелл С.;Совершенный код;800;Hardcover;896;RUSSIAN
Макэвой С.;Программирование на платформе Microsoft Windows Media;265;Paperback;416;RUSSIAN
Мао В.;Современная криптография: теория и практика;749;Hardcover;768;RUSSIAN
Мараско Дж.;IT-проекты: фронтовые очерки;544;Paperback;384;RUSSIAN
Марманис Х., Бабенко Д.;Алгоритмы интеллектуального Интернета. Передовые методики сбора,анализа и обработки данных;600;Paperback;480;RUSSIAN
Мартин Р.;Чистый код: создание, анализ и рефакторинг;300;Paperback;464;RUSSIAN
Маэда Дж.;Законы простоты: Дизайн. Технологии. Бизнес. Жизнь;300;Paperback;119;RUSSIAN
Мейер Э.;CSS - каскадные таблицы стилей. Подробное руководство;500;Paperback;576;RUSSIAN
Мейнджер Д.;JavaScript: основы программирования;45;Paperback;512;RUSSIAN
Мескон М., Альберт М., Хедоури Ф.;Основы менеджмента;669;Hardcover;672;RUSSIAN
Мешков А., Тихомиров Ю.;Visual C++ и MFC. Программирование для Windows NT и Windows 95: в трех томах. Том 2;40;Paperback;464;RUSSIAN
Мешков А., Тихомиров Ю.;Visual C++ и MFC. Программирование для Windows NT и Windows 95: в трех томах. Том 3;40;Paperback;464;RUSSIAN
Мешков А., Тихомиров Ю.;Visual C++ и MFC. Программирование для Windows NT и Windows 95: в трех томах. Том 1;40;Paperback;464;RUSSIAN
Милн А., Заходер Б.;Винни Пух и все, все, все;217;Hardcover;381;RUSSIAN
Мильчин А.Э.;Справочник издателя и автора;2000;Hardcover;1084;RUSSIAN
Мищенко А.С.,Фоменко А.Т.;Краткий курс дифференциальной геометрии и топологии;287;Hardcover;304;RUSSIAN
Морвиль П., Розенфельд Л.;Информационная архитектура в Интернете;300;Paperback;608;RUSSIAN
Морган С., Райан Б., Хорн Ш., Бломсма М.;Разработка распределенных приложений на платформе Microsoft .NET Framework;863;Hardcover;608;RUSSIAN
Мэрфи Дж. Дж.;Технический анализ фьючерсных рынков: теория и практика;1054;Hardcover;592;RUSSIAN
Мюссер Д., Дердж Ж., Сейни А.;C++ и STL: справочное руководство;500;Hardcover;432;RUSSIAN
Негус К., Каэн Ф.;Ubintu и Debian Linux для продвинутых: более 1000 незаменимых команд;305;Paperback;352;RUSSIAN
Нильсен Я.;Веб-дизайн: книга Якоба Нильсена;200;Paperback;512;RUSSIAN
Нисон С.;Японские свечи: графический анализ финансовых рынков;1165;Hardcover;347;RUSSIAN
Нортроп Т., Уилдермьюс Ш., Райан Б.;Основы разработки приложений на платформе Microsoft .NET Framework;800;Hardcover;864;RUSSIAN
Нотон П., Шилдт Г.;Полный справочник по Java;700;Paperback;592;RUSSIAN
Ньюкомер Э.;Веб-сервисы. Для профессионалов;247;Hardcover;256;RUSSIAN
О`Брайен Т., Подж С., Уайт Дж.;Microsoft Access 97: разработка приложений;133;Paperback;640;RUSSIAN
Ожегов С. И.;Толковый словарь русского языка;700;Hardcover;736;RUSSIAN
О'Коннор Дж.;Искусство системного мышления: Необходимые знания о системах и творческом подходе к решению проблем;300;Paperback;254;RUSSIAN
Олейник О.А.;Лекции об уравнениях с частными производными;244;Hardcover;260;RUSSIAN
Они У.;Использование Microsoft Windows Driver Model;300;Hardcover;764;RUSSIAN
